BR_0002436,-53.173,-22.713,676000000000.000,96734,711973707044.460
BR_0002435,-53.177,-22.718,673977000000.000,96734,711973707044.460
BG_0000004,25.950,43.860,669900000000.000,192652,708985152785.730
KH_0000001,104.942,11.583,663000000000.000,146731,689894688827.252
KH_0000002,105.465,11.995,660000000000.000,146731,689894688827.252
RO_0000032,25.354,43.627,658400000000.000,192651,702248922793.669
BG_0000003,25.350,43.630,658340000000.000,192651,702248922793.669
KH_0000003,106.015,12.477,646000000000.000,147453,677799885280.357
BD_0000001,89.670,25.180,636130000000.000,166140,554203873548.774
KH_0000004,105.945,13.533,635000000000.000,148892,662712918944.687
MX_0000008,-114.720,32.720,631960000000.000,176531,654200102203.518
BR_0001110,-36.824,-10.214,631000000000.000,114767,639661043445.526
BR_0001106,-37.446,-9.751,615000000000.000,115486,636619096553.368
BR_0001105,-37.756,-9.626,610000000000.000,115485,609169874179.206
BR_0000147,-65.348,-10.793,609000000000.000,113990,630944864910.505
BR_0000148,-65.343,-10.812,609000000000.000,113990,630944864910.505
CA_0003859,-111.583,59.872,606000000000.000,215417,627240164946.980
TD_0000003,15.030,12.120,600000000000.000,147270,528936936732.607
RU_0000047,103.950,52.570,598000000000.000,205768,652842127696.319
CA_0000769,-83.093,42.298,592589000000.000,190274,583677976311.288
BR_0001102,-38.300,-9.067,592000000000.000,116204,600025527880.457
BG_0000002,23.240,43.840,588860000000.000,192647,631350041338.899
BG_0000001,22.820,44.160,584900000000.000,193366,626883980480.762
RO_0000029,22.420,44.700,576232000000.000,194085,618026985016.671
CA_0000761,-82.425,42.987,576013000000.000,191716,556420297912.699
BR_0002835,-57.891,-21.700,576000000000.000,98165,559497523639.858
RO_0000030,21.379,44.815,570896000000.000,194083,613636219037.548
ML_0000032,0.500,15.667,566000000000.000,152281,554083713498.938
BR_0002834,-57.919,-21.436,565000000000.000,98885,556626311766.071
RU_0000073,71.170,57.700,564000000000.000,212903,617395438349.704
BR_0001095,-39.244,-8.626,561000000000.000,116922,560280064599.965
BR_0002833,-57.844,-21.099,546000000000.000,98885,556626311766.071
LA_0000014,105.800,15.117,545000000000.000,151772,560767675391.959
BR_0001091,-39.824,-8.810,535000000000.000,116921,554165469746.857
RU_0000098,158.720,68.730,526000000000.000,228918,559968893049.151
BR_0001088,-40.504,-9.406,516000000000.000,116199,517500164179.606
BR_0002831,-58.167,-20.229,516000000000.000,100324,516263244426.612
CF_0000010,18.580,4.370,500000000000.000,135758,563052027500.718
BR_0000322,-51.779,-3.102,482000000000.000,124817,503357068917.791
UA_0000058,33.180,46.770,482000000000.000,196987,512409565405.389
BR_0002263,-51.635,-20.855,477000000000.000,99617,514728402395.070
UA_0000056,35.150,47.920,463000000000.000,198431,495682796535.014
BR_0000286,-55.982,-4.276,458000000000.000,123369,471218454213.409
MX_0000007,-97.520,25.900,450902000000.000,166485,534391207451.214
TD_0000008,16.720,10.480,450000000000.000,144394,474271710525.229
UZ_0000002,59.700,42.280,450000000000.000,190560,484406034930.484
BR_0000319,-52.212,-3.215,448000000000.000,124816,469470926933.455
BR_0001081,-42.433,-10.167,448000000000.000,114756,474864161527.231
